Var1	Var2	value
10	DGN	0.0862208066680382
11	DGN	0.0459921224727457
12	DGN	-0.00736037359526771
13	DGN	-0.00922324472470919
14	DGN	0.0132315325404193
15	DGN	-0.00450153658793232
16	DGN	0.00151143811327355
17	DGN	0.0188068205402275
18	DGN	0.00428221396113557
19	DGN	0.0184240779274313
20	DGN	-0.0143936384301154
21	DGN	-0.0524462826655661
1	UDN	-0.34932424083383
2	UDN	0.625055487255321
3	UDN	0.31984420927505
4	UDN	0.154298194948744
5	UDN	-0.0291427207827438
6	UDN	0.0799053399941638
7	UDN	-0.388761302792013
8	UDN	-0.0224718496526667
9	UDN	-0.0060423470027945
10	UDN	-0.127967169114291
11	UDN	-0.0402552383027332
12	UDN	0.0979603208206529
13	UDN	-0.00178875871839017
14	UDN	0.0350934772463957
15	UDN	-0.108156887641258
16	UDN	-0.0395435049981669
17	UDN	0.0493491108398156
18	UDN	0.0138987922901375
19	UDN	0.0849915816313015
20	UDN	0.0407120271833665
21	UDN	0.102546756852508
1	CGS	-0.0679194004455943
2	CGS	0.192952416709303
3	CGS	0.468829468617605
4	CGS	0.147492572740029
5	CGS	0.0312327399512072
6	CGS	0.0712445838192016
7	CGS	0.19172451367612
8	CGS	0.0133834325041565
9	CGS	-0.0178253918907664
10	CGS	-0.105671383198582
11	CGS	-0.0133061416429635
12	CGS	-0.0559601541213744
13	CGS	-0.122788149809571
14	CGS	-0.0517596469095805
15	CGS	0.123509594509928
16	CGS	0.00388585591681688
17	CGS	-0.208051275832871
18	CGS	0.0753007781439912
19	CGS	-0.20004729023184
20	CGS	-0.0547896901004122
21	CGS	-0.0294571173823674
1	150bp read	-0.316521035108077
2	150bp read	0.70649274514404
3	150bp read	0.359470024614677
4	150bp read	0.178503383278042
5	150bp read	0.031833244723904
6	150bp read	0.0485050027629995
7	150bp read	-0.301074822599453
8	150bp read	-0.00500333181459405
9	150bp read	-0.00311755481463304
10	150bp read	-0.055277873300404
11	150bp read	-0.0189142908696871
12	150bp read	0.0362085655941272
13	150bp read	0.0275865496592768
14	150bp read	0.0351495827781503
15	150bp read	-0.0393676589810339
16	150bp read	-0.0154078372547541
17	150bp read	0.184381338140368
