Figure2C		
FILTER	SAMPLE	PERCENT
EXP_OUTLIER_RV	samp66	4.04312668
EXP_OUTLIER_RV_CADD	samp66	2.02156334
EXP_OUTLIER_RV_CADD_HPO	samp66	0.40431267
EXP_OUTLIER_PLI	samp67	10.88
EXP_OUTLIER_ASE	samp67	10.56
EXP_OUTLIER_RIVER	samp67	9.76
EXP_OUTLIER_HPO	samp67	11.2
EXP_OUTLIER_RV	samp67	4.16
EXP_OUTLIER_RV_CADD	samp67	1.28
EXP_OUTLIER_RV_CADD_HPO	samp67	0.16
EXP_OUTLIER_PLI	samp68	11.56316916
EXP_OUTLIER_ASE	samp68	9.74304069
EXP_OUTLIER_RIVER	samp68	9.74304069
EXP_OUTLIER_HPO	samp68	7.92291221
EXP_OUTLIER_RV	samp68	5.1391863
EXP_OUTLIER_RV_CADD	samp68	2.35546039
EXP_OUTLIER_RV_CADD_HPO	samp68	0.64239829
EXP_OUTLIER_PLI	samp69	16.17195496
EXP_OUTLIER_ASE	samp69	51.07471853
EXP_OUTLIER_RIVER	samp69	62.33367451
EXP_OUTLIER_HPO	samp69	11.97543501
EXP_OUTLIER_RV	samp69	42.78403275
EXP_OUTLIER_RV_CADD	samp69	6.24360287
EXP_OUTLIER_RV_CADD_HPO	samp69	1.53531218
EXP_OUTLIER_PLI	samp70	15.22277228
EXP_OUTLIER_ASE	samp70	11.26237624
EXP_OUTLIER_RIVER	samp70	11.63366337
EXP_OUTLIER_HPO	samp70	11.50990099
EXP_OUTLIER_RV	samp70	4.95049505
EXP_OUTLIER_RV_CADD	samp70	0.99009901
EXP_OUTLIER_RV_CADD_HPO	samp70	0.12376238
EXP_OUTLIER_PLI	samp71	16.08478803
EXP_OUTLIER_ASE	samp71	10.47381546
EXP_OUTLIER_RIVER	samp71	12.46882793
EXP_OUTLIER_HPO	samp71	11.59600998
EXP_OUTLIER_RV	samp71	4.36408978
EXP_OUTLIER_RV_CADD	samp71	2.36907731
EXP_OUTLIER_RV_CADD_HPO	samp71	0
