SampleID	OutlierCount	Direction	Cutoff	Cohort	NumGenes
samp501	341	Over	2	DGNControl	14763
samp502	343	Over	2	DGNControl	14763
samp503	271	Over	2	DGNControl	14763
samp504	324	Over	2	DGNControl	14763
samp505	199	Over	2	DGNControl	14763
samp506	161	Over	2	DGNControl	14763
samp507	389	Over	2	DGNControl	14763
samp508	205	Over	2	DGNControl	14763
samp509	135	Over	2	DGNControl	14763
samp510	446	Over	2	DGNControl	14763
samp511	232	Over	2	DGNControl	14763
samp512	410	Over	2	DGNControl	14763
samp513	284	Over	2	DGNControl	14763
samp514	152	Over	2	DGNControl	14763
samp515	202	Over	2	DGNControl	14763
samp516	378	Over	2	DGNControl	14763
samp517	200	Over	2	DGNControl	14763
samp518	166	Over	2	DGNControl	14763
samp519	282	Over	2	DGNControl	14763
samp520	193	Over	2	DGNControl	14763
samp521	314	Over	2	DGNControl	14763
samp522	244	Over	2	DGNControl	14763
samp523	191	Over	2	DGNControl	14763
samp524	135	Over	2	DGNControl	14763
samp525	218	Over	2	DGNControl	14763
samp526	236	Over	2	DGNControl	14763
samp527	275	Over	2	DGNControl	14763
samp528	234	Over	2	DGNControl	14763
samp529	802	Over	2	DGNControl	14763
samp530	208	Over	2	DGNControl	14763
samp531	311	Over	2	DGNControl	14763
samp532	318	Over	2	DGNControl	14763
samp533	187	Over	2	DGNControl	14763
samp534	526	Over	2	DGNControl	14763
samp535	396	Over	2	DGNControl	14763
samp536	251	Over	2	DGNControl	14763
samp537	213	Over	2	DGNControl	14763
samp538	237	Over	2	DGNControl	14763
samp539	442	Over	2	DGNControl	14763
samp540	165	Over	2	DGNControl	14763
samp541	299	Over	2	DGNControl	14763
samp542	314	Over	2	DGNControl	14763
samp543	191	Over	2	DGNControl	14763
samp544	261	Over	2	DGNControl	14763
samp545	227	Over	2	DGNControl	14763
samp546	269	Over	2	DGNControl	14763
samp547	135	Over	2	DGNControl	14763
samp548	209	Over	2	DGNControl	14763
samp549	192	Over	2	DGNControl	14763
samp550	245	Over	2	DGNControl	14763
samp551	374	Over	2	DGNControl	14763
samp552	302	Over	2	DGNControl	14763
samp553	173	Over	2	DGNControl	14763
samp554	281	Over	2	DGNControl	14763
samp555	326	Over	2	DGNControl	14763
samp556	318	Over	2	DGNControl	14763
samp557	231	Over	2	DGNControl	14763
samp558	349	Over	2	DGNControl	14763
samp559	211	Over	2	DGNControl	14763
samp560	121	Over	2	DGNControl	14763
samp561	264	Over	2	DGNControl	14763
samp562	384	Over	2	DGNControl	14763
samp563	283	Over	2	DGNControl	14763
samp564	258	Over	2	DGNControl	14763
samp565	475	Over	2	DGNControl	14763
samp566	202	Over	2	DGNControl	14763
samp567	211	Over	2	DGNControl	14763
samp568	172	Over	2	DGNControl	14763
samp569	357	Over	2	DGNControl	14763
samp570	351	Over	2	DGNControl	14763
samp571	281	Over	2	DGNControl	14763
