sample	value	filter
samp23	7	EXP_OUTLIER_RV_CADD_HPO
samp24	629	RV_10KB_CADD
samp24	284	RV_10KB_HPO
samp24	111	RV_10KB_CADD_HPO
samp24	2695	HPO
samp24	838	EXP_OUTLIER
samp24	120	EXP_OUTLIER_PLI
samp24	218	EXP_OUTLIER_ASE
samp24	97	EXP_OUTLIER_RIVER
samp24	71	EXP_OUTLIER_HPO
samp24	49	EXP_OUTLIER_RV
samp24	20	EXP_OUTLIER_RV_CADD
samp24	4	EXP_OUTLIER_RV_CADD_HPO
samp25	328	RV_10KB_CADD
samp25	109	RV_10KB_HPO
samp25	44	RV_10KB_CADD_HPO
samp25	1983	HPO
samp25	1169	EXP_OUTLIER
samp25	182	EXP_OUTLIER_PLI
samp25	242	EXP_OUTLIER_ASE
samp25	113	EXP_OUTLIER_RIVER
samp25	88	EXP_OUTLIER_HPO
samp25	29	EXP_OUTLIER_RV
samp25	16	EXP_OUTLIER_RV_CADD
samp25	2	EXP_OUTLIER_RV_CADD_HPO
samp26	489	RV_10KB_CADD
samp26	231	RV_10KB_HPO
samp26	105	RV_10KB_CADD_HPO
samp26	2809	HPO
samp26	922	EXP_OUTLIER
samp26	168	EXP_OUTLIER_PLI
samp26	273	EXP_OUTLIER_ASE
samp26	118	EXP_OUTLIER_RIVER
samp26	113	EXP_OUTLIER_HPO
samp26	57	EXP_OUTLIER_RV
samp26	27	EXP_OUTLIER_RV_CADD
samp26	7	EXP_OUTLIER_RV_CADD_HPO
samp27	729	RV_10KB_CADD
samp27	308	RV_10KB_HPO
samp27	130	RV_10KB_CADD_HPO
samp27	2362	HPO
samp27	1632	EXP_OUTLIER
samp27	254	EXP_OUTLIER_PLI
samp27	333	EXP_OUTLIER_ASE
samp27	194	EXP_OUTLIER_RIVER
samp27	127	EXP_OUTLIER_HPO
samp27	119	EXP_OUTLIER_RV
samp27	48	EXP_OUTLIER_RV_CADD
samp27	5	EXP_OUTLIER_RV_CADD_HPO
samp28	1679	RV_10KB_CADD
samp28	1157	RV_10KB_HPO
samp28	253	RV_10KB_CADD_HPO
samp28	2244	HPO
samp28	546	EXP_OUTLIER
samp28	103	EXP_OUTLIER_PLI
samp28	393	EXP_OUTLIER_ASE
samp28	321	EXP_OUTLIER_RIVER
samp28	53	EXP_OUTLIER_HPO
samp28	186	EXP_OUTLIER_RV
samp28	32	EXP_OUTLIER_RV_CADD
samp28	5	EXP_OUTLIER_RV_CADD_HPO
samp29	373	RV_10KB_CADD
samp29	200	RV_10KB_HPO
samp29	81	RV_10KB_CADD_HPO
samp29	2735	HPO
samp29	744	EXP_OUTLIER
samp29	112	EXP_OUTLIER_PLI
samp29	260	EXP_OUTLIER_ASE
samp29	76	EXP_OUTLIER_RIVER
samp29	62	EXP_OUTLIER_HPO
samp29	29	EXP_OUTLIER_RV
samp29	12	EXP_OUTLIER_RV_CADD
samp29	1	EXP_OUTLIER_RV_CADD_HPO
samp30	349	RV_10KB_CADD
samp30	171	RV_10KB_HPO
samp30	73	RV_10KB_CADD_HPO
samp30	2735	HPO
samp30	756	EXP_OUTLIER
samp30	97	EXP_OUTLIER_PLI
samp30	267	EXP_OUTLIER_ASE
samp30	66	EXP_OUTLIER_RIVER
samp30	75	EXP_OUTLIER_HPO
samp30	28	EXP_OUTLIER_RV
samp30	15	EXP_OUTLIER_RV_CADD
samp30	4	EXP_OUTLIER_RV_CADD_HPO
samp31	442	RV_10KB_CADD
samp31	205	RV_10KB_HPO
samp31	94	RV_10KB_CADD_HPO
samp31	2844	HPO
samp31	809	EXP_OUTLIER
samp31	142	EXP_OUTLIER_PLI
samp31	243	EXP_OUTLIER_ASE
samp31	83	EXP_OUTLIER_RIVER
samp31	80	EXP_OUTLIER_HPO
samp31	33	EXP_OUTLIER_RV
samp31	12	EXP_OUTLIER_RV_CADD
samp31	3	EXP_OUTLIER_RV_CADD_HPO
samp32	489	RV_10KB_CADD
samp32	171	RV_10KB_HPO
samp32	79	RV_10KB_CADD_HPO
samp32	2328	HPO
samp32	748	EXP_OUTLIER
samp32	105	EXP_OUTLIER_PLI
samp32	246	EXP_OUTLIER_ASE
samp32	67	EXP_OUTLIER_RIVER
samp32	60	EXP_OUTLIER_HPO
samp32	34	EXP_OUTLIER_RV
samp32	16	EXP_OUTLIER_RV_CADD
samp32	2	EXP_OUTLIER_RV_CADD_HPO
samp33	136	RV_10KB_CADD
samp33	39	RV_10KB_HPO
samp33	14	RV_10KB_CADD_HPO
samp33	2695	HPO
samp33	1278	EXP_OUTLIER
samp33	199	EXP_OUTLIER_PLI
samp33	330	EXP_OUTLIER_ASE
samp33	76	EXP_OUTLIER_RIVER
samp33	128	EXP_OUTLIER_HPO
samp33	11	EXP_OUTLIER_RV
samp33	5	EXP_OUTLIER_RV_CADD
samp33	0	EXP_OUTLIER_RV_CADD_HPO
samp34	169	RV_10KB_CADD
samp34	3	RV_10KB_HPO
samp34	1	RV_10KB_CADD_HPO
samp34	83	HPO
samp34	1416	EXP_OUTLIER
samp34	246	EXP_OUTLIER_PLI
samp34	274	EXP_OUTLIER_ASE
samp34	104	EXP_OUTLIER_RIVER
samp34	2	EXP_OUTLIER_HPO
samp34	37	EXP_OUTLIER_RV
samp34	15	EXP_OUTLIER_RV_CADD
samp34	0	EXP_OUTLIER_RV_CADD_HPO
samp35	152	RV_10KB_CADD
samp35	1	RV_10KB_HPO
samp35	0	RV_10KB_CADD_HPO
samp35	83	HPO
samp35	1604	EXP_OUTLIER
